"address","latitude","locality","longitude","name","postcode","tel"
"1129 15th St NW",38.90445,"Washington",-77.034593,"Jack's Famous Deli","20005","(202) 429-9880"
"1100 15th St NW",38.903946,"Washington",-77.034749,"Capital City Deli","20005","(202) 466-5119"
"1152 15th St NW",38.9048388,"Washington",-77.0348528,"Bean and Bite","20005","(202) 223-2331"
"1155 15th St NW",38.905041,"Washington",-77.034026,"Federalist","20005","(202) 587-2641"
"1426 L St NW",38.903461,"Washington",-77.034487,"Ollies Trolley Restaurant","20005","(202) 628-3833"
"1156 15th St NW",38.905335,"Washington",-77.034959,"Caribou Coffee","20005","(202) 223-2331"
"1090 Vermont Ave NW",38.903428,"Washington",-77.033678,"Livsuite","20005","(202) 379-3116"
"1422 L St NW",38.903801,"Washington",-77.033203,"Post Pub","20005","(202) 628-2111"
"1017 15th St NW",38.903251,"Washington",-77.034525,"Pizza Authentica","20005",undefined
"1501 M St NW",38.9055557250977,"Washington",-77.034538269043,"Coors Brewery Co Federal Government","20005","(202) 347-7110"
"1090 Vermont Ave NW",38.903618,"Washington",-77.033342,"Columbia Catering","20005","(202) 408-8484"
"1110 Vermont Ave NW",38.903973,"Washington",-77.032956,"New World Cafe Vermont","20005","(202) 861-8033"
"1110 Vermont Ave NW",38.903973,"Washington",-77.032956,"Mio Restaurant","20005","(202) 955-0075"
"1120 Vermont Ave NW",38.903989,"Washington",-77.032939,"Java Lobby Shop","20005","(202) 296-1766"
"1018 Vermont Ave NW",38.90324783,"Washington",-77.03380585,"DC Thai Restaurant","20005","(770) 338-0585"
"1101 Vermont Ave NW",38.903863,"Washington",-77.032993,"Au Bon Pain","20005","(202) 842-1179"
"1110 Vermont Ave NW",38.904104,"Washington",-77.032878,"Lincoln","20005","(202) 386-9200"
"1090 Vermont Ave NW",38.903568,"Washington",-77.033194,"California Grill","20005","(202) 408-8484"
"1030 15th St NW",38.903108,"Washington",-77.034641,"New York Gourmet","20005","(202) 842-3892"
"1110 Vermont Ave NW",38.904073,"Washington",-77.032838,"Starbucks","20005","(202) 467-0821"
"1018 Vermont Ave NW",38.90351133,"Washington",-77.03322571,"King of Kabob","20005","(202) 737-5464"
"1000 Vermont Ave NW",38.903186,"Washington",-77.033764,"Saxbys Coffee","20005","(202) 898-0233"
"1101 Vermont Ave NW",38.903829,"Washington",-77.032877,"Zoup! Fresh Soup Company","20005","(202) 682-9687"
"1008 Vermont Ave NW",38.903229,"Washington",-77.033394,"Josephine","20005","(202) 347-8601"
"1004 Vermont Ave NW",38.9030118,"Washington",-77.0337755,"Sushi Express","20005","(202) 393-2292"
"1400 M St NW",38.905463,"Washington",-77.033096,"Wyndham","20005","(202) 429-1700"
"1025 Vermont Ave NW",38.903324,"Washington",-77.033086,"Juice Joint Cafe","20005","(202) 347-6783"
