"name","price_level","rating","vicinity"
"Barcode Restaurant, Bar & Lounge",2,3.6,"1101 17th Street Northwest, Washington"
"BlackFinn",2,3.7,"1620 I Street Northwest, Washington"
"Lincoln Restaurant",2,4.1,"1110 Vermont Avenue Northwest, Washington"
"Bombay Club",3,4.4,"815 Connecticut Avenue Northwest, Washington"
"Tabard Inn Restaurant",2,4.2,"1739 N Street Northwest, Washington"
"DC Coast Restaurant",3,4.3,"1401 K Street Northwest, Washington"
"Sofitel Washington DC Lafayette Square",undefined,4.4,"806 15th Street Northwest, Washington"
"BLT Steak",3,4.3,"1625 I Street Northwest, Washington"
"The Oval Room",3,4.3,"800 Connecticut Avenue Northwest, Washington"
"Georgia Brown's",2,4.1,"950 15th Street Northwest, Washington"
"Equinox",3,4.3,"818 Connecticut Avenue Northwest, Washington"
"Birch & Barley",2,4.3,"1337 14th Street Northwest, Washington"
"Nage",2,3.8,"1600 Rhode Island Avenue Northwest, Washington"
"ICi Urban Bistro",3,4.3,"806 15th Street Northwest, Washington"
"Thaitanic Restaurant",2,3.8,"1326 14th Street Northwest, Washington"
"Cafe Mozart",2,4,"1331 H Street Northwest, Washington"
"Beacon Bar & Grill",1,4.1,"1615 Rhode Island Avenue Northwest, Washington"
"Cosi",1,2.6,"1501 K Street Northwest, Washington"
"Cosi",1,4.1,"1333 H Street Northwest, Washington"
"McCormick & Schmick's",3,4.1,"1652 K Street Northwest, Washington"
"The Park at Fourteenth",2,3.9,"920 14th Street Northwest, Washington"
"Lima",1,3.9,"1401 K Street Northwest, Washington"
"Zentan",3,4,"Donovan House, 1155 14th Street Northwest, Washington"
"Bobby Van's Steakhouse",3,4,"809 15th Street Northwest, Washington"
"Tuscana West",2,3.9,"1350 I Street Northwest, Washington"
"City Buffet Restaurant",2,3.6,"1101 14th St N, Washington"
"Tsunami Sushi & Lounge",2,3.9,"1326 14th Street Northwest, Washington"
"The Lafayette",4,4.5,"800 16th Street Northwest, Washington"
"Siroc Restaurant",3,4.3,"915 15th Street Northwest, Washington"
"Fujimar",2,4.2,"1401 K Street Northwest, Washington"
"Mio",2,4.2,"1110 Vermont Avenue Northwest, Washington"
"Panache",3,3.9,"1725 Desales Street Northwest, Washington"
"Stan's Restaurant",2,4,"1029 Vermont Avenue Northwest, Washington"
"Juice Joint Café",1,4,"1025 Vermont Avenue Northwest, Washington"
"Cafe Soleil",2,3.8,"839 17th Street Northwest, Washington"
"Solar Cafe",1,3.5,"1300 I St NW # 1, Washington"
"Teak Wood",2,4,"1323 14th Street Northwest, Washington"
"Post Pub Inc",1,3.6,"1422 L Street Northwest, Washington"
"Adour at the St. Regis Washington, D.C.",4,4.5,"923 16th Street Northwest, Washington"
"Ghana Cafe",2,3.8,"1336 14th Street Northwest, Washington"
"the pig",2,4.3,"1320 14th Street Northwest, Washington"
"McDonald's",1,undefined,"1235 New York Avenue Northwest, Washington"
"Five Guys Burgers & Fries",1,3.7,"1400 I Street Northwest, Washington"
"14K Restaurant",2,4,"1001 14th Street Northwest, Washington"
"Casa Blanca Restaurant",2,3.7,"1014 Vermont Avenue Northwest, Washington"
"Wicked Waffle",1,undefined,"1712 I Street Northwest, Washington"
"Naan & Beyond",2,3.4,"1710 L Street Northwest, Washington"
"Fuel Pizza & Wings",1,3.9,"1606 K Street Northwest, Washington"
"Kellari Taverna",3,4.2,"Washington"
"Plume",4,4.8,"1200 16th Street Northwest, Washington"
"Au Bon Pain",1,3.4,"1401 I Street Northwest, Washington"
"Sidecar at P.J. Clarke's DC",2,4,"1600 K Street Northwest, Washington"
"Market To Market",undefined,undefined,"1615 L Street Northwest, Washington"
"Bangkok One Thai Restaurant",2,3.8,"1411 K Street Northwest, Washington"
"Avenue Cafe & Lounge",2,4.2,"1501 Rhode Island Avenue Northwest, Washington"
"P.J. Clarke's",2,4.1,"1600 K Street Northwest, Washington"
"point chaud cafe & crepes",1,3.8,"1012 14th Street Northwest, Washington"
"NORTH GATE GRILL",2,4.2,"1001 16th Street Northwest, Washington"
"The Federalist",3,undefined,"1177 15th Street Northwest, Washington"
"Elizabeth's Gone Raw",3,undefined,"1341 L Street Northwest, Washington"
