"name","address","city","state","area","postal_code","phone","reserve_url"
"1400 North at the Westin Washington, D.C. City Center","1400 M Street NW","Washington","DC","Washington, D.C. Area","20005","2024291700x","http://www.opentable.com/single.aspx?rid=62482"
"14K Restaurant & Lounge","1001 14th Street, NW","Washington","DC","Washington, D.C. Area","20005","2022187575x","http://www.opentable.com/single.aspx?rid=5071"
"15 ria","1515 Rhode Island Ave. NW","Washington","DC","Washington, D.C. Area","20005","2027420015","http://www.opentable.com/single.aspx?rid=2436"
"Avenue Cafe Bar and Grill-Holiday Inn Central","1501 Rhode Island Avenue NW","Washington","DC","Washington, D.C. Area","20005","2023493030x","http://www.opentable.com/single.aspx?rid=80548"
"B Too","1324 14th St. NW","Washington","DC","Washington, D.C. Area","20005","2026272800","http://www.opentable.com/single.aspx?rid=102241"
"Bayou on Penn","2519 Pennsylvania Avenue NW","Washington","DC","Washington, D.C. Area","20005","2022236941x","http://www.opentable.com/single.aspx?rid=58987"
"Bibiana","1100 New York Avenue, NW (Corner of 12th and H St)","Washington","DC","Washington, D.C. Area","20005","2022169550","http://www.opentable.com/single.aspx?rid=34924"
"Birch and Barley","1337 14th Street, NW","Washington","DC","Washington, D.C. Area","20005","2025672576x","http://www.opentable.com/single.aspx?rid=36640"
"BLT Steak DC","1625 Eye Street","Washington","DC","Washington, D.C. Area","20005","2026898999x","http://www.opentable.com/single.aspx?rid=7280"
"Bobby Van's Grill - New York Ave.","1201 New York Avenue, NW","Washington","DC","Washington, D.C. Area","20005","2025891504x","http://www.opentable.com/single.aspx?rid=6320"
"Bobby Van's Steakhouse - DC","809 15th St., NW","Washington","DC","Washington, D.C. Area","20005","2025890060","http://www.opentable.com/single.aspx?rid=6729"
"Brasserie Beck","1101 K Street, NW","Washington","DC","Washington, D.C. Area","20005","2024081717","http://www.opentable.com/single.aspx?rid=12589"
"Cafe Berlin","322 Massachusetts Avenu, NE","Washington","DC","Washington, D.C. Area","20005","2025437656","http://www.opentable.com/single.aspx?rid=48025"
"Capitol City Brewing Company - Downtown","1100 New York Ave. N.W.","Washington","DC","Washington, D.C. Area","20005","2026282222","http://www.opentable.com/single.aspx?rid=32326"
"Ceiba","701 14th Street NW","Washington","DC","Washington, D.C. Area","20005","2023933983","http://www.opentable.com/single.aspx?rid=2506"
"Commissary DC","1443 P St. NW","Washington","DC","Washington, D.C. Area","20005","2022990018x","http://www.opentable.com/single.aspx?rid=44341"
"DC Coast","1401 K Street, NW","Washington","DC","Washington, D.C. Area","20005","2022165988","http://www.opentable.com/single.aspx?rid=2691"
"Elizabeth's Gone Raw","1341 L Street NW","Washington","DC","Washington, D.C. Area","20005","2023478349","http://www.opentable.com/single.aspx?rid=101005"
"Fire & Sage","775 12th Street NW","Washington","DC","Washington, D.C. Area","20005","2026618925","http://www.opentable.com/single.aspx?rid=7324"
"Fujimar restaurant & sushi lounge","1401 K Street NW","Washington","DC","Washington, D.C. Area","20005","2027892800","http://www.opentable.com/single.aspx?rid=5673"
"Georgia Brown's","950 15th Street, NW","Washington","DC","Washington, D.C. Area","20005","2023934499","http://www.opentable.com/single.aspx?rid=52291"
"Ici Urban Bistro","806 15th Street NW","Washington","DC","Washington, D.C. Area","20005","2027308800x","http://www.opentable.com/single.aspx?rid=2071"
"Lincoln - DC","1110 Vermont Ave. NW","Washington","DC","Washington, D.C. Area","20005","2023869200x","http://www.opentable.com/single.aspx?rid=58150"
"Logan Tavern","1423 P St. NW","Washington","DC","Washington, D.C. Area","20005","2023323710x","http://www.opentable.com/single.aspx?rid=65419"
"Mio Restaurant","1110 Vermont Avenue, NW","Washington","DC","Washington, D.C. Area","20005","2029550075x","http://www.opentable.com/single.aspx?rid=11503"
"MXDC","600 14th St. NW","Washington","DC","Washington, D.C. Area","20005","2023931900x","http://www.opentable.com/single.aspx?rid=107890"
"Old Ebbitt Grill","675 15th Street, NW","Washington","DC","Washington, D.C. Area","20005","2023474801x","http://www.opentable.com/single.aspx?rid=2069"
"Posto","1515 14th St., NW","Washington","DC","Washington, D.C. Area","20005","2023328613x","http://www.opentable.com/single.aspx?rid=41380"
"Recess Tapas Lounge","727 15th Street NW","Washington","DC","Washington, D.C. Area","20005","2026377667x","http://www.opentable.com/single.aspx?rid=91621"
"Siroc Restaurant","915 15th Street, NW","Washington","DC","Washington, D.C. Area","20005","202-628-2220","http://www.opentable.com/single.aspx?rid=29503"
"The Federalist at Loews Madison Hotel","1177 15th Street NW","Washington","DC","Washington, D.C. Area","20005","2025872629x","http://www.opentable.com/single.aspx?rid=71131"
"The Hamilton","600 14th St. NW","Washington","DC","Washington, D.C. Area","20005","2027871000x","http://www.opentable.com/single.aspx?rid=72763"
"The Pig","1320 14th St. Nw","Washington","DC","Washington, D.C. Area","20005","2022902821x","http://www.opentable.com/single.aspx?rid=97729"
"Tortilla Coast- Logan Circle","1460 P Street, NW","Washington","DC","Washington, D.C. Area","20005","2026293280","http://www.opentable.com/single.aspx?rid=93844"
"Tuscana West","1350 I Street, NW","Washington","DC","Washington, D.C. Area","20005","2022897300x","http://www.opentable.com/single.aspx?rid=3182"
"Woodward Table","1426 H Street NW","Washington","DC","Washington, D.C. Area","20005","2023475353","http://www.opentable.com/single.aspx?rid=96355"
"Zentan","1155 14th St NW","Washington","DC","Washington, D.C. Area","20005","2023794366x","http://www.opentable.com/single.aspx?rid=33064"
